Speed (85th kph),Speed Limit (mph),Speed Limit (kph),AADT,infrastructure,level_of_service
65 kph to 80 kph,50 mph,80 kph,1000 to 1999,Segregated Track (narrow),1
65 kph to 80 kph,50 mph,80 kph,1000 to 1999,Painted Cycle Lane,1
65 kph to 80 kph,50 mph,80 kph,2000 to 3999,Mixed Traffic Street,0
65 kph to 80 kph,50 mph,80 kph,2000 to 3999,Off Road Path,3
65 kph to 80 kph,50 mph,80 kph,2000 to 3999,Segregated Track (wide),1
65 kph to 80 kph,50 mph,80 kph,2000 to 3999,Segregated Track (narrow),1
65 kph to 80 kph,50 mph,80 kph,2000 to 3999,Painted Cycle Lane,1
65 kph to 80 kph,50 mph,80 kph,4000+,Mixed Traffic Street,0
65 kph to 80 kph,50 mph,80 kph,4000+,Off Road Path,3
65 kph to 80 kph,50 mph,80 kph,4000+,Segregated Track (wide),1
65 kph to 80 kph,50 mph,80 kph,4000+,Segregated Track (narrow),1
65 kph to 80 kph,50 mph,80 kph,4000+,Painted Cycle Lane,1
80 kph to 95 kph,60 mph,97 kph,0 to 999,Mixed Traffic Street,1
80 kph to 95 kph,60 mph,97 kph,0 to 999,Off Road Path,3
80 kph to 95 kph,60 mph,97 kph,0 to 999,Segregated Track (wide),1
80 kph to 95 kph,60 mph,97 kph,0 to 999,Segregated Track (narrow),1
80 kph to 95 kph,60 mph,97 kph,0 to 999,Painted Cycle Lane,1
80 kph to 95 kph,60 mph,97 kph,1000 to 1999,Mixed Traffic Street,0
80 kph to 95 kph,60 mph,97 kph,1000 to 1999,Off Road Path,3
80 kph to 95 kph,60 mph,97 kph,1000 to 1999,Segregated Track (wide),1
80 kph to 95 kph,60 mph,97 kph,1000 to 1999,Segregated Track (narrow),0
80 kph to 95 kph,60 mph,97 kph,1000 to 1999,Painted Cycle Lane,0
80 kph to 95 kph,60 mph,97 kph,2000 to 3999,Mixed Traffic Street,0
80 kph to 95 kph,60 mph,97 kph,2000 to 3999,Off Road Path,3
80 kph to 95 kph,60 mph,97 kph,2000 to 3999,Segregated Track (wide),1
80 kph to 95 kph,60 mph,97 kph,2000 to 3999,Segregated Track (narrow),0
80 kph to 95 kph,60 mph,97 kph,2000 to 3999,Painted Cycle Lane,0
80 kph to 95 kph,60 mph,97 kph,4000+,Mixed Traffic Street,0
80 kph to 95 kph,60 mph,97 kph,4000+,Off Road Path,3
80 kph to 95 kph,60 mph,97 kph,4000+,Segregated Track (wide),1
80 kph to 95 kph,60 mph,97 kph,4000+,Segregated Track (narrow),0
80 kph to 95 kph,60 mph,97 kph,4000+,Painted Cycle Lane,0
95 kph to 110 kph,60+ mph,97+ kph,0 to 999,Mixed Traffic Street,0
95 kph to 110 kph,60+ mph,97+ kph,0 to 999,Off Road Path,3
95 kph to 110 kph,60+ mph,97+ kph,0 to 999,Segregated Track (wide),1
95 kph to 110 kph,60+ mph,97+ kph,0 to 999,Segregated Track (narrow),0
95 kph to 110 kph,60+ mph,97+ kph,0 to 999,Painted Cycle Lane,0
95 kph to 110 kph,60+ mph,97+ kph,1000 to 1999,Mixed Traffic Street,0
95 kph to 110 kph,60+ mph,97+ kph,1000 to 1999,Off Road Path,3
95 kph to 110 kph,60+ mph,97+ kph,1000 to 1999,Segregated Track (wide),1
95 kph to 110 kph,60+ mph,97+ kph,1000 to 1999,Segregated Track (narrow),0
95 kph to 110 kph,60+ mph,97+ kph,1000 to 1999,Painted Cycle Lane,0
95 kph to 110 kph,60+ mph,97+ kph,2000 to 3999,Mixed Traffic Street,0
95 kph to 110 kph,60+ mph,97+ kph,2000 to 3999,Off Road Path,3
95 kph to 110 kph,60+ mph,97+ kph,2000 to 3999,Segregated Track (wide),1
95 kph to 110 kph,60+ mph,97+ kph,2000 to 3999,Segregated Track (narrow),0
95 kph to 110 kph,60+ mph,97+ kph,2000 to 3999,Painted Cycle Lane,0
95 kph to 110 kph,60+ mph,97+ kph,4000+,Mixed Traffic Street,0
95 kph to 110 kph,60+ mph,97+ kph,4000+,Off Road Path,3
95 kph to 110 kph,60+ mph,97+ kph,4000+,Segregated Track (wide),1
95 kph to 110 kph,60+ mph,97+ kph,4000+,Segregated Track (narrow),0
95 kph to 110 kph,60+ mph,97+ kph,4000+,Painted Cycle Lane,0
